	word2vec-source=twitter dims=100 task=age kernel=poly degree=1 C=0.1	word2vec-source=twitter dims=100 task=age kernel=poly degree=1 C=10	word2vec-source=twitter dims=100 task=age kernel=poly degree=1 C=1000	word2vec-source=twitter dims=100 task=age kernel=poly degree=2 C=0.1	word2vec-source=twitter dims=100 task=age kernel=poly degree=2 C=10	word2vec-source=twitter dims=100 task=age kernel=poly degree=2 C=1000	word2vec-source=twitter dims=100 task=age kernel=poly degree=3 C=0.1	word2vec-source=twitter dims=100 task=age kernel=poly degree=3 C=10	word2vec-source=twitter dims=100 task=age kernel=poly degree=3 C=1000	word2vec-source=wiki-giga dims=100 task=age kernel=poly degree=1 C=0.1	word2vec-source=wiki-giga dims=100 task=age kernel=poly degree=1 C=10	word2vec-source=wiki-giga dims=100 task=age kernel=poly degree=1 C=1000	word2vec-source=wiki-giga dims=100 task=age kernel=poly degree=2 C=0.1	word2vec-source=wiki-giga dims=100 task=age kernel=poly degree=2 C=10	word2vec-source=wiki-giga dims=100 task=age kernel=poly degree=2 C=1000	word2vec-source=wiki-giga dims=100 task=age kernel=poly degree=3 C=0.1	word2vec-source=wiki-giga dims=100 task=age kernel=poly degree=3 C=10	word2vec-source=wiki-giga dims=100 task=age kernel=poly degree=3 C=1000
word2vec-source=twitter dims=100 task=age kernel=poly degree=1 C=0.1					0.000285118083632	0.000157052284231		0.000157052284231	0.000157052284231					0.000157052284231	0.000157052284231		0.000157052284231	0.000157052284231
word2vec-source=twitter dims=100 task=age kernel=poly degree=1 C=10					0.000285118083632	0.000157052284231		0.000157052284231	0.000157052284231					0.000157052284231	0.000157052284231		0.000157052284231	0.000157052284231
word2vec-source=twitter dims=100 task=age kernel=poly degree=1 C=1000					0.000285118083632	0.000157052284231		0.000157052284231	0.000157052284231					0.000157052284231	0.000157052284231		0.000157052284231	0.000157052284231
word2vec-source=twitter dims=100 task=age kernel=poly degree=2 C=0.1					0.000285118083632	0.000157052284231		0.000157052284231	0.000157052284231					0.000157052284231	0.000157052284231		0.000157052284231	0.000157052284231
word2vec-source=twitter dims=100 task=age kernel=poly degree=2 C=10	0.000285118083632	0.000285118083632	0.000285118083632	0.000285118083632			0.000285118083632			0.000285118083632	0.000285118083632	0.000285118083632	0.000285118083632			0.000285118083632		
word2vec-source=twitter dims=100 task=age kernel=poly degree=2 C=1000	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231			0.000157052284231			0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231			0.000157052284231		
word2vec-source=twitter dims=100 task=age kernel=poly degree=3 C=0.1					0.000285118083632	0.000157052284231		0.000157052284231	0.000157052284231					0.000157052284231	0.000157052284231		0.000157052284231	0.000157052284231
word2vec-source=twitter dims=100 task=age kernel=poly degree=3 C=10	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231			0.000157052284231			0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231			0.000157052284231		
word2vec-source=twitter dims=100 task=age kernel=poly degree=3 C=1000	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231			0.000157052284231			0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231			0.000157052284231		
word2vec-source=wiki-giga dims=100 task=age kernel=poly degree=1 C=0.1					0.000285118083632	0.000157052284231		0.000157052284231	0.000157052284231					0.000157052284231	0.000157052284231		0.000157052284231	0.000157052284231
word2vec-source=wiki-giga dims=100 task=age kernel=poly degree=1 C=10					0.000285118083632	0.000157052284231		0.000157052284231	0.000157052284231					0.000157052284231	0.000157052284231		0.000157052284231	0.000157052284231
word2vec-source=wiki-giga dims=100 task=age kernel=poly degree=1 C=1000					0.000285118083632	0.000157052284231		0.000157052284231	0.000157052284231					0.000157052284231	0.000157052284231		0.000157052284231	0.000157052284231
word2vec-source=wiki-giga dims=100 task=age kernel=poly degree=2 C=0.1					0.000285118083632	0.000157052284231		0.000157052284231	0.000157052284231					0.000157052284231	0.000157052284231		0.000157052284231	0.000157052284231
word2vec-source=wiki-giga dims=100 task=age kernel=poly degree=2 C=10	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231			0.000157052284231			0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231			0.000157052284231		
word2vec-source=wiki-giga dims=100 task=age kernel=poly degree=2 C=1000	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231			0.000157052284231			0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231			0.000157052284231		
word2vec-source=wiki-giga dims=100 task=age kernel=poly degree=3 C=0.1					0.000285118083632	0.000157052284231		0.000157052284231	0.000157052284231					0.000157052284231	0.000157052284231		0.000157052284231	0.000157052284231
word2vec-source=wiki-giga dims=100 task=age kernel=poly degree=3 C=10	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231			0.000157052284231			0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231			0.000157052284231		
word2vec-source=wiki-giga dims=100 task=age kernel=poly degree=3 C=1000	0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231			0.000157052284231			0.000157052284231	0.000157052284231	0.000157052284231	0.000157052284231			0.000157052284231		
